ID,ap_id,kind,wall,s_m,width_m,sill_m,head_m,wall_az,source_pos,source_dims,confidence,notes
63,1,door,3,1.7,0.86,0.0,2.1,277.4,report,default,med,"stated entrance W -> wall 3 (outward 277 deg, 7 deg off); report p.116"
65,1,door,0,2.64,0.86,0.0,2.1,269.5,report,default,med,"stated entrance W -> wall 0 (outward 270 deg, 1 deg off); report p.117"
67,1,door,2,2.32,0.86,0.0,2.1,90.7,report,default,med,"stated entrance E -> wall 2 (outward 91 deg, 1 deg off); report p.117"
68,1,door,0,2.46,0.86,0.0,2.1,183.8,report,default,med,"stated entrance S -> wall 0 (outward 184 deg, 4 deg off); report p.117"
69,1,door,1,2.68,0.86,0.0,2.1,181.5,report,default,low,"stated entrance S -> wall 1 (outward 182 deg, 1 deg off); report p.117"
70,1,door,1,2.09,0.86,0.0,2.1,181.9,report,default,med,"stated entrance S -> wall 1 (outward 182 deg, 2 deg off); report p.119"
71,1,door,0,2.4,0.86,0.0,2.1,183.9,report,default,med,"stated entrance S -> wall 0 (outward 184 deg, 4 deg off); report p.119"
72,1,door,1,2.63,0.86,0.0,2.1,180.0,report,default,med,"stated entrance S -> wall 1 (outward 180 deg, 0 deg off); report p.119"
73,1,door,0,1.95,0.86,0.0,2.1,191.7,report,default,med,"stated entrance S -> wall 0 (outward 192 deg, 12 deg off); report p.119"
74,1,door,0,1.64,0.86,0.0,2.1,187.3,report,default,med,"stated entrance S -> wall 0 (outward 187 deg, 7 deg off); report p.119"
76,1,door,0,2.27,0.86,0.0,2.1,185.3,report,default,med,"stated entrance S -> wall 0 (outward 185 deg, 5 deg off); report p.121"
78,1,door,0,3.43,0.86,0.0,2.1,188.6,report,default,med,"stated entrance S -> wall 0 (outward 189 deg, 9 deg off); report p.121"
79,1,door,0,1.77,0.86,0.0,2.1,177.7,report,default,med,"stated entrance S -> wall 0 (outward 178 deg, 2 deg off); report p.121"
81,1,door,0,2.36,0.86,0.0,2.1,199.0,report,default,med,"stated entrance S -> wall 0 (outward 199 deg, 19 deg off); report p.134"
82,1,door,0,1.43,0.86,0.0,2.1,192.2,report,default,med,"stated entrance S -> wall 0 (outward 192 deg, 12 deg off); report p.134"
83,1,door,2,2.06,0.86,0.0,2.1,83.9,report,default,med,"stated entrance E -> wall 2 (outward 84 deg, 6 deg off); report p.134"
84,1,door,0,1.33,0.86,0.0,2.1,201.6,report,default,med,"stated entrance S -> wall 0 (outward 202 deg, 22 deg off); report p.134"
85,1,door,1,2.15,0.86,0.0,2.1,106.5,report,default,med,"stated entrance E -> wall 1 (outward 106 deg, 17 deg off); report p.134"
86,1,door,1,1.91,0.86,0.0,2.1,106.5,report,default,med,"stated entrance E -> wall 1 (outward 106 deg, 17 deg off); report p.134"
87,1,door,3,2.81,0.86,0.0,2.1,294.2,report,default,med,"stated entrance W -> wall 3 (outward 294 deg, 24 deg off); report p.134"
88,1,door,2,2.78,0.86,0.0,2.1,85.9,report,default,med,"stated entrance E -> wall 2 (outward 86 deg, 4 deg off); report p.134"
89,1,door,1,2.69,0.86,0.0,2.1,91.8,report,default,med,"stated entrance E -> wall 1 (outward 92 deg, 2 deg off); report p.137"
90,1,door,0,5.36,0.86,0.0,2.1,181.0,report,default,med,"stated entrance S -> wall 0 (outward 181 deg, 1 deg off); report p.137"
91,1,door,1,2.05,0.86,0.0,2.1,180.0,report,default,med,"stated entrance S -> wall 1 (outward 180 deg, 0 deg off); report p.137"
94,1,door,0,2.44,0.86,0.0,2.1,184.7,report,default,med,"stated entrance S -> wall 0 (outward 185 deg, 5 deg off); report p.138"
95,1,door,1,2.0,0.86,0.0,2.1,90.0,report,default,med,"stated entrance E -> wall 1 (outward 90 deg, 0 deg off); report p.138"
96,1,door,1,1.9,0.86,0.0,2.1,91.5,report,default,med,"stated entrance E -> wall 1 (outward 92 deg, 1 deg off); report p.139"
103,1,door,0,2.25,0.86,0.0,2.1,185.6,report,default,med,"stated entrance S -> wall 0 (outward 186 deg, 6 deg off); report p.139"
104,1,door,0,2.96,0.86,0.0,2.1,228.4,report,default,low,"stated entrance W -> wall 0 (outward 228 deg, 42 deg off); report p.140"
105,1,door,0,2.0,0.86,0.0,2.1,182.4,report,default,med,"stated entrance S -> wall 0 (outward 182 deg, 2 deg off); report p.140"
106,1,door,1,1.55,0.86,0.0,2.1,104.0,report,default,med,"stated entrance E -> wall 1 (outward 104 deg, 14 deg off); report p.140"
107,1,door,1,3.25,0.86,0.0,2.1,110.8,report,default,med,"stated entrance E -> wall 1 (outward 111 deg, 21 deg off); report p.140"
109,1,door,1,1.5,0.86,0.0,2.1,101.1,report,default,med,"stated entrance E -> wall 1 (outward 101 deg, 11 deg off); report p.140"
111,1,door,0,0.49,0.86,0.0,2.1,180.0,report,default,low,"stated entrance S -> wall 0 (outward 180 deg, 0 deg off); report p.141"
112,1,door,2,1.32,0.86,0.0,2.1,92.0,report,default,med,"stated entrance E -> wall 2 (outward 92 deg, 2 deg off); report p.141"
113,1,door,2,0.71,0.86,0.0,2.1,92.0,report,default,med,"stated entrance E -> wall 2 (outward 92 deg, 2 deg off); report p.141"
114,1,door,1,2.82,0.86,0.0,2.1,92.0,report,default,med,"stated entrance E -> wall 1 (outward 92 deg, 2 deg off); report p.141"
115,1,door,2,3.01,0.86,0.0,2.1,103.6,report,default,med,"stated entrance E -> wall 2 (outward 104 deg, 14 deg off); report p.141"
117,1,door,3,2.17,0.86,0.0,2.1,85.6,report,default,med,"stated entrance E -> wall 3 (outward 86 deg, 4 deg off); report p.129"
118,1,door,0,2.35,0.86,0.0,2.1,186.5,report,default,med,"stated entrance S -> wall 0 (outward 186 deg, 7 deg off); report p.143"
119,1,door,3,2.28,0.86,0.0,2.1,292.8,report,default,med,"stated entrance W -> wall 3 (outward 293 deg, 23 deg off); report p.143"
120,1,door,3,1.86,0.86,0.0,2.1,289.1,report,default,med,"stated entrance W -> wall 3 (outward 289 deg, 19 deg off); report p.143"
121,1,door,3,2.81,0.86,0.0,2.1,289.1,report,default,med,"stated entrance W -> wall 3 (outward 289 deg, 19 deg off); report p.143"
123,1,door,3,1.4,0.86,0.0,2.1,291.2,report,default,med,"stated entrance W -> wall 3 (outward 291 deg, 21 deg off); report p.143"
128,1,door,3,2.12,0.86,0.0,2.1,283.3,report,default,med,"stated entrance W -> wall 3 (outward 283 deg, 13 deg off); report p.131"
130,1,door,3,2.72,0.86,0.0,2.1,279.6,report,default,med,"stated entrance W -> wall 3 (outward 280 deg, 10 deg off); report p.131"
131,1,door,3,2.32,0.86,0.0,2.1,272.0,report,default,med,"stated entrance W -> wall 3 (outward 272 deg, 2 deg off); report p.145"
133,1,door,0,2.51,0.86,0.0,2.1,184.5,report,default,med,"stated entrance S -> wall 0 (outward 184 deg, 5 deg off); report p.145"
134,1,door,3,1.49,0.86,0.0,2.1,92.1,report,default,med,"stated entrance E -> wall 3 (outward 92 deg, 2 deg off); report p.133"
138,1,door,1,2.04,0.86,0.0,2.1,96.9,report,default,med,"stated entrance E -> wall 1 (outward 97 deg, 7 deg off); report p.133"
139,1,door,1,1.57,0.86,0.0,2.1,127.3,report,default,low,"stated entrance E -> wall 1 (outward 127 deg, 37 deg off); report p.133"
141,1,door,1,2.22,0.86,0.0,2.1,91.0,report,default,med,"stated entrance E -> wall 1 (outward 91 deg, 1 deg off); report p.133"
142,1,door,1,1.46,0.86,0.0,2.1,84.4,report,default,med,"stated entrance E -> wall 1 (outward 84 deg, 6 deg off); report p.133"
143,1,door,2,2.6,0.86,0.0,2.1,80.5,report,default,med,"stated entrance E -> wall 2 (outward 80 deg, 9 deg off); report p.147"
144,1,door,1,3.47,0.86,0.0,2.1,182.3,report,default,med,"stated entrance S -> wall 1 (outward 182 deg, 2 deg off); report p.147"
145,1,door,1,2.99,0.86,0.0,2.1,112.6,report,default,med,"stated entrance E -> wall 1 (outward 113 deg, 23 deg off); report p.147"
146,1,door,0,2.13,0.86,0.0,2.1,206.1,report,default,low,"stated entrance S -> wall 0 (outward 206 deg, 26 deg off); report p.147"
148,1,door,2,2.77,0.86,0.0,2.1,80.0,report,default,med,"stated entrance E -> wall 2 (outward 80 deg, 10 deg off); report p.147"
149,1,door,2,2.34,0.86,0.0,2.1,67.2,report,default,med,"stated entrance E -> wall 2 (outward 67 deg, 23 deg off); report p.147"
150,1,door,0,2.6,0.86,0.0,2.1,179.1,report,default,med,"stated entrance S -> wall 0 (outward 179 deg, 1 deg off); report p.148"
151,1,door,1,1.91,0.86,0.0,2.1,182.6,report,default,med,"stated entrance S -> wall 1 (outward 183 deg, 3 deg off); report p.148"
152,1,door,1,2.46,0.86,0.0,2.1,180.3,report,default,med,"stated entrance S -> wall 1 (outward 180 deg, 0 deg off); report p.148"
153,1,door,2,2.04,0.86,0.0,2.1,86.4,report,default,med,"stated entrance E -> wall 2 (outward 86 deg, 4 deg off); report p.148"
154,1,door,8,0.41,0.86,0.0,2.1,79.0,report,default,low,"stated entrance E -> wall 8 (outward 79 deg, 11 deg off); report p.148"
155,1,door,2,1.43,0.86,0.0,2.1,71.7,report,default,med,"stated entrance E -> wall 2 (outward 72 deg, 18 deg off); report p.151"
158,1,door,2,3.4,0.86,0.0,2.1,81.1,report,default,med,"stated entrance E -> wall 2 (outward 81 deg, 9 deg off); report p.151"
160,1,door,2,2.11,0.86,0.0,2.1,73.7,report,default,med,"stated entrance E -> wall 2 (outward 74 deg, 16 deg off); report p.151"
161,1,door,2,2.16,0.86,0.0,2.1,71.4,report,default,med,"stated entrance E -> wall 2 (outward 71 deg, 19 deg off); report p.152"
163,1,door,2,1.78,0.86,0.0,2.1,73.5,report,default,med,"stated entrance E -> wall 2 (outward 74 deg, 16 deg off); report p.152"
164,1,door,2,1.51,0.86,0.0,2.1,73.5,report,default,med,"stated entrance E -> wall 2 (outward 74 deg, 16 deg off); report p.152"
165,1,door,1,2.24,0.86,0.0,2.1,163.1,report,default,med,"stated entrance S -> wall 1 (outward 163 deg, 17 deg off); report p.152"
166,1,door,0,1.61,0.86,0.0,2.1,192.8,report,default,med,"stated entrance S -> wall 0 (outward 193 deg, 13 deg off); report p.152"
167,1,door,3,3.89,0.86,0.0,2.1,274.7,report,default,med,"stated entrance W -> wall 3 (outward 275 deg, 5 deg off); report p.140"
168,1,door,1,2.32,0.86,0.0,2.1,182.3,report,default,med,"stated entrance S -> wall 1 (outward 182 deg, 2 deg off); report p.141"
169,1,door,0,2.15,0.86,0.0,2.1,183.4,report,default,med,"stated entrance S -> wall 0 (outward 183 deg, 3 deg off); report p.141"
170,1,door,0,2.35,0.86,0.0,2.1,195.0,report,default,med,"stated entrance S -> wall 0 (outward 195 deg, 15 deg off); report p.141"
172,1,door,2,0.85,0.86,0.0,2.1,91.2,report,default,med,"stated entrance E -> wall 2 (outward 91 deg, 1 deg off); report p.83"
173,1,door,1,1.19,0.86,0.0,2.1,97.1,report,default,med,"stated entrance E -> wall 1 (outward 97 deg, 7 deg off); report p.85"
176,1,door,1,1.35,0.86,0.0,2.1,90.9,report,default,med,"stated entrance E -> wall 1 (outward 91 deg, 1 deg off); report p.142"
177,1,door,0,1.94,0.86,0.0,2.1,178.8,report,default,med,"stated entrance S -> wall 0 (outward 179 deg, 1 deg off); report p.142"
178,1,door,2,1.44,0.86,0.0,2.1,94.4,report,default,med,"stated entrance E -> wall 2 (outward 94 deg, 4 deg off); report p.143"
180,1,door,1,8.69,0.86,0.0,2.1,188.0,report,default,low,"stated entrance SW -> wall 1 (outward 188 deg, 37 deg off); report p.143"
181,1,door,7,0.85,0.65,0.0,2.1,291.9,report,default,high,"width 0.65 m measured from the plan gap, wall confirmed by the report; stated entrance W -> wall 7 (outward 292 deg, 22 deg off); report p.159"
182,1,door,7,0.66,0.86,0.0,2.1,292.5,report,default,low,"stated entrance W -> wall 7 (outward 292 deg, 23 deg off); report p.159"
184,1,door,0,4.55,0.86,0.0,2.1,181.0,report,default,med,"stated entrance S -> wall 0 (outward 181 deg, 1 deg off); report p.147"
185,1,door,0,1.97,0.86,0.0,2.1,189.2,report,default,med,"stated entrance S -> wall 0 (outward 189 deg, 9 deg off); report p.147"
186,1,door,7,0.62,0.86,0.0,2.1,292.4,report,default,low,"stated entrance W -> wall 7 (outward 292 deg, 22 deg off); report p.147"
189,1,door,3,1.36,0.86,0.0,2.1,274.1,report,default,med,"stated entrance W -> wall 3 (outward 274 deg, 4 deg off); report p.148"
190,1,door,0,1.97,0.86,0.0,2.1,208.8,report,default,med,"stated entrance S -> wall 0 (outward 209 deg, 29 deg off); report p.148"
191,1,door,4,2.1,0.86,0.0,2.1,274.7,report,default,med,"stated entrance W -> wall 4 (outward 275 deg, 5 deg off); report p.148"
192,1,door,7,1.96,0.86,0.0,2.1,281.0,report,default,med,"stated entrance W -> wall 7 (outward 281 deg, 11 deg off); report p.148"
193,1,door,3,1.57,0.86,0.0,2.1,281.0,report,default,med,"stated entrance W -> wall 3 (outward 281 deg, 11 deg off); report p.148"
195,1,door,3,2.25,0.86,0.0,2.1,272.0,report,default,med,"stated entrance W -> wall 3 (outward 272 deg, 2 deg off); report p.164"
197,1,door,1,2.03,0.86,0.0,2.1,104.8,report,default,med,"stated entrance E -> wall 1 (outward 105 deg, 15 deg off); report p.164"
198,1,door,3,2.35,0.86,0.0,2.1,298.9,report,default,med,"stated entrance W -> wall 3 (outward 299 deg, 29 deg off); report p.164"
200,1,door,0,1.79,0.86,0.0,2.1,268.0,report,default,med,"stated entrance W -> wall 0 (outward 268 deg, 2 deg off); report p.165"
201,1,door,3,2.29,0.86,0.0,2.1,282.5,report,default,med,"stated entrance W -> wall 3 (outward 282 deg, 12 deg off); report p.165"
202,1,door,0,2.23,0.86,0.0,2.1,267.2,report,default,med,"stated entrance W -> wall 0 (outward 267 deg, 3 deg off); report p.153"
203,1,door,0,1.8,0.86,0.0,2.1,265.8,report,default,med,"stated entrance W -> wall 0 (outward 266 deg, 4 deg off); report p.153"
204,1,door,0,1.34,0.86,0.0,2.1,241.8,report,default,med,"stated entrance W -> wall 0 (outward 242 deg, 28 deg off); report p.153"
205,1,door,0,1.42,0.86,0.0,2.1,252.2,report,default,med,"stated entrance W -> wall 0 (outward 252 deg, 18 deg off); report p.153"
207,1,door,0,2.21,0.86,0.0,2.1,186.2,report,default,med,"stated entrance S -> wall 0 (outward 186 deg, 6 deg off); report p.154"
208,1,door,4,1.24,0.86,0.0,2.1,278.1,report,default,low,"stated entrance W -> wall 4 (outward 278 deg, 8 deg off); report p.169"
209,1,door,3,0.65,0.86,0.0,2.1,275.2,report,default,med,"stated entrance W -> wall 3 (outward 275 deg, 5 deg off); report p.169"
210,1,door,3,1.94,0.86,0.0,2.1,281.3,report,default,med,"stated entrance W -> wall 3 (outward 281 deg, 11 deg off); report p.88"
211,1,door,0,2.15,0.86,0.0,2.1,268.8,report,default,med,"stated entrance W -> wall 0 (outward 269 deg, 1 deg off); report p.169"
212,1,door,0,1.88,0.86,0.0,2.1,186.2,report,default,med,"stated entrance S -> wall 0 (outward 186 deg, 6 deg off); report p.157"
215,1,door,5,2.32,0.86,0.0,2.1,297.3,report,default,med,"stated entrance W -> wall 5 (outward 297 deg, 27 deg off); report p.158"
217,1,door,0,1.97,0.86,0.0,2.1,182.6,report,default,med,"stated entrance S -> wall 0 (outward 183 deg, 3 deg off); report p.158"
218,1,door,3,2.05,0.86,0.0,2.1,279.0,report,default,med,"stated entrance W -> wall 3 (outward 279 deg, 9 deg off); report p.158"
219,1,door,3,2.66,0.86,0.0,2.1,279.2,report,default,med,"stated entrance W -> wall 3 (outward 279 deg, 9 deg off); report p.158"
220,1,door,3,1.31,0.86,0.0,2.1,295.5,report,default,med,"stated entrance W -> wall 3 (outward 296 deg, 25 deg off); report p.158"
223,1,door,3,1.04,0.86,0.0,2.1,280.9,report,default,low,"stated entrance W -> wall 3 (outward 281 deg, 11 deg off); report p.159"
224,1,door,1,0.29,0.86,0.0,2.1,277.3,report,default,low,"stated entrance W -> wall 1 (outward 277 deg, 7 deg off); report p.159"
225,1,door,1,2.29,0.86,0.0,2.1,112.0,report,default,med,"stated entrance E -> wall 1 (outward 112 deg, 22 deg off); report p.159"
226,1,door,1,3.62,0.86,0.0,2.1,112.0,report,default,med,"stated entrance E -> wall 1 (outward 112 deg, 22 deg off); report p.159"
227,1,door,0,1.76,0.86,0.0,2.1,190.7,report,default,med,"stated entrance S -> wall 0 (outward 191 deg, 11 deg off); report p.175"
228,1,door,3,1.47,0.86,0.0,2.1,298.7,report,default,med,"stated entrance W -> wall 3 (outward 299 deg, 29 deg off); report p.175"
229,1,door,3,1.55,0.86,0.0,2.1,306.3,report,default,med,"stated entrance W -> wall 3 (outward 306 deg, 36 deg off); report p.175"
230,1,door,1,1.92,0.86,0.0,2.1,111.0,report,default,med,"stated entrance E -> wall 1 (outward 111 deg, 21 deg off); report p.175"
231,1,door,3,2.84,0.86,0.0,2.1,287.9,report,default,med,"stated entrance W -> wall 3 (outward 288 deg, 18 deg off); report p.175"
232,1,door,0,2.21,0.86,0.0,2.1,184.3,report,default,med,"stated entrance S -> wall 0 (outward 184 deg, 4 deg off); report p.175"
233,1,door,0,2.75,0.86,0.0,2.1,190.5,report,default,med,"stated entrance S -> wall 0 (outward 190 deg, 10 deg off); report p.175"
234,1,door,1,1.96,0.86,0.0,2.1,177.1,report,default,med,"stated entrance S -> wall 1 (outward 177 deg, 3 deg off); report p.161"
235,1,door,0,2.43,0.86,0.0,2.1,211.0,report,default,med,"stated entrance S -> wall 0 (outward 211 deg, 31 deg off); report p.161"
236,1,door,3,2.42,0.86,0.0,2.1,274.9,report,default,med,"stated entrance W -> wall 3 (outward 275 deg, 5 deg off); report p.161"
237,1,door,3,2.08,0.86,0.0,2.1,302.7,report,default,med,"stated entrance W -> wall 3 (outward 303 deg, 33 deg off); report p.161"
238,1,door,3,1.09,0.86,0.0,2.1,301.7,report,default,med,"stated entrance W -> wall 3 (outward 302 deg, 32 deg off); report p.161"
240,1,door,4,2.4,0.86,0.0,2.1,291.3,report,default,med,"stated entrance W -> wall 4 (outward 291 deg, 21 deg off); report p.161"
241,1,door,4,2.61,0.86,0.0,2.1,279.2,report,default,med,"stated entrance W -> wall 4 (outward 279 deg, 9 deg off); report p.162"
242,1,door,1,2.0,0.86,0.0,2.1,194.0,report,default,med,"stated entrance S -> wall 1 (outward 194 deg, 14 deg off); report p.162"
243,1,door,3,2.25,0.86,0.0,2.1,278.0,report,default,med,"stated entrance W -> wall 3 (outward 278 deg, 8 deg off); report p.162"
244,1,door,3,1.76,0.86,0.0,2.1,283.8,report,default,med,"stated entrance W -> wall 3 (outward 284 deg, 14 deg off); report p.162"
245,1,door,3,1.56,0.86,0.0,2.1,293.7,report,default,med,"stated entrance W -> wall 3 (outward 294 deg, 24 deg off); report p.162"
247,1,door,3,2.45,0.86,0.0,2.1,289.6,report,default,med,"stated entrance W -> wall 3 (outward 290 deg, 20 deg off); report p.162"
248,1,door,3,0.45,0.86,0.0,2.1,191.4,report,default,low,"stated entrance S -> wall 3 (outward 191 deg, 11 deg off); report p.163"
249,1,door,1,1.14,0.86,0.0,2.1,183.1,report,default,med,"stated entrance S -> wall 1 (outward 183 deg, 3 deg off); report p.163"
251,1,door,3,1.07,0.86,0.0,2.1,291.1,report,default,med,"stated entrance W -> wall 3 (outward 291 deg, 21 deg off); report p.163"
252,1,door,2,1.71,0.86,0.0,2.1,184.2,report,default,low,"stated entrance S -> wall 2 (outward 184 deg, 4 deg off); report p.163"
253,1,door,3,1.79,0.86,0.0,2.1,291.3,report,default,med,"stated entrance W -> wall 3 (outward 291 deg, 21 deg off); report p.163"
255,1,door,4,1.97,0.86,0.0,2.1,274.7,report,default,med,"stated entrance W -> wall 4 (outward 275 deg, 5 deg off); report p.165"
256,1,door,0,2.0,0.86,0.0,2.1,249.7,report,default,med,"stated entrance SW -> wall 0 (outward 250 deg, 25 deg off); report p.165"
257,1,door,0,2.18,0.86,0.0,2.1,190.8,report,default,med,"stated entrance S -> wall 0 (outward 191 deg, 11 deg off); report p.165"
258,1,door,0,2.68,0.86,0.0,2.1,190.0,report,default,med,"stated entrance S -> wall 0 (outward 190 deg, 10 deg off); report p.165"
259,1,door,7,1.85,0.86,0.0,2.1,289.3,report,default,med,"stated entrance W -> wall 7 (outward 289 deg, 19 deg off); report p.165"
260,1,door,0,2.29,0.86,0.0,2.1,182.2,report,default,med,"stated entrance S -> wall 0 (outward 182 deg, 2 deg off); report p.183"
261,1,door,3,0.39,0.86,0.0,2.1,191.0,report,default,low,"stated entrance S -> wall 3 (outward 191 deg, 11 deg off); report p.183"
262,1,door,0,0.41,0.86,0.0,2.1,259.0,report,default,low,"stated entrance W -> wall 0 (outward 259 deg, 11 deg off); report p.183"
263,1,door,2,1.67,0.86,0.0,2.1,78.1,report,default,med,"stated entrance E -> wall 2 (outward 78 deg, 12 deg off); report p.183"
